ID	Clan	A4_Gender	A5_Age	A6_HH_head	A7_Gender_HHH_if	A10_women	A10_girls	A10_men	A10_boys	A10_under2	A10_Marit_stat	A12_disp_stat	A15_income	A16_Employ_Stat	A17_Main_Source_Income	A18_Livestock_yn	A18_Sheep	A18_Goats	A18_Cows	A18_Camels	A19_disabled	A20_HHDisabled	A21_AbleAccessMedserv	A21_Distance	A21_MoneyTravel	A21_MoneyService	A21_MoneyMedicine	A21_UseTraditionalMed	B1_MealAdults	B1_MealsChildren	B2_Cereals	B2_vegorange	B2_roots	B2_leaves	B2_otherveg	B2_localfruits	B2_Otherfruits	B2_meat	B2_egg	B2_fish	B2_legumin	B2_milky	B2_fat	B2_sugar	B2_other	B3_days_cereals	B3_days_roots	B3_days_beans	B3_days_veg	B3_days_fruits	B3_days_eggmeat	B3_days_milky	B3_days_sugar	B3_days_fat	B3_days_other	B13_months_notenough	B14_Nov	B14_Oct	B14_Sep	B14_Aug	B14_Jul	B14_Jun	B14_May	B14_Apr	B14_Mar	B14_Feb	B14_Jan	B14_Dec	B15_Nofoodtoeat	B16_Sleephungry	B17_alldayandnightwithouteating	B18_Worry NotEnoughtoEat	C1_OwnLand	C2_Acresowned	C3_Bean	C3_Sesame	C3_Cowpeas	C3_Maize	C3_Other	C4_Seed_Beans	C4_Seed_Sesame	C4_Seed_Cowpeas	C4_Seed_Maize	C4_Seed_Other	C5_Source_Beans	C5_Source_Sesame	C5_Source_Cowpeas	C5_Source_Maize	C5_Source_Other	C7_Area_Beans	C7_Area_Sesame	C7_Area_Cowpeas	C7_Area_Maize	C7_Area_Other	C8_Seed_Beans_enough	C8_Seed_Sesame_enough	C8_Seed_Cowpeas_enough	C8_Seed_Maize_enough	C8_Seed_Other_enough	C9_Pest_Attack_Beans	C9_Pest_Attack_Sesame	C9_Pest_Attack_Cowpeas	C9_Pest_Attack_Maize	C9_Pest_Attack_Other	C10_Pest_Affected_Beans	C10_Pest_Affected_Sesame	C10_Pest_Affected_Cowpeas	C10_Pest_Affected_Maize	C10_Pest_Affected_Other	C11_Pest_Mngmt_Beans	C11_Pest_Mngmt_Sesame	C11_Pest_Mngmt_Cowpeas	C11_Pest_Mngmt_Maize	C11_Pest_Mngmt_Other	C12_Pest_Fertilizer_Beans	C12_Pest_Fertilizer_Sesame	C12_Pest_Fertilizer_Cowpeas	C12_Pest_Fertilizer_Maize	C12_Pest_Fertilizer_Other	C13_PestFertilizer_WARDI_Beans	C13_PestFertilizer_WARDI_Sesame	C13_PestFertilizer_WARDI_Cowpeas	C13_PestFertilizer_WARDI_Maize	C13_PestFertilizer_WARDI_Other	C15_goodpract_Beans	C15_goodpract_Sesame	C15_goodpract_Cowpeas	C15_goodpract_Maize	C15_goodpract_Other	C16_irrig_Beans	C16_irrig_Sesame	C16_irrig_Cowpeas	C16_irrig_Maize	C16_irrig_Other	C17_Areairrig_Beans	C17_Areairrig_Sesame	C17_Areairrig_Cowpeas	C17_Areairrig_Maize	C17_Areairrig_Other	C18_training_goodpract	C18_training_harvest	C18_training_input	C18_training_fert	C18_training_soil	C18_training_pestmngt	C18_training_flooddrought	C18_training_accounting	C18_training_seeding	C18_training_climate	C18_training_seedselect	C19_org_goodpract	C18_org_harvest	C18_org_input	C18_org_fert	C18_org_soil	C18_org_pestmngt	C18_org_flooddrought	C18_org_accounting	C18_org_seeding	C18_org_climate	C18_org_seedselect	C18_long_goodpract	C18_long_harvest	C18_long_input	C18_long_fert	C18_long_soil	C18_long_pestmngt	C18_long_flooddrought	C18_long_accounting	C18_long_seeding	C18_long_climate	C18_long_seedselect	C19_received_shovel	C19_received_fork	C19_received_axe	C19_received_hoe	C19_received_bandingtool	C19_usetractor	C20_irrigrehab	C20_WaterAccess	C20_WaterAccess_other	C20_freq_irrig	C20_freq_irrig_day	C21_assistance_veggarden	C22_receive_foodstoragecontainer	C22_what_text	C23_access_food_increased	C23_why_text	D1_source_LH_yn	D2_Main_source_LH	D3_LH_income	D4_WARDI_chicken	D4_chicken_beforeWARDI	D4_Chicken_owned	D11_consumming_eggs	D11_selling_eggs	D11_giving_eggs	D13_Training_animal_husband	D14_Sell_agr_prod	D15_Nearest_Market_km	D16_transport_means	D17_challenge_roads	D17_challenge_Insecurity	D17_challenge_transpCost	D17_challenge_distance	D17_challenge_notenough	D17_challenge_Other	D19_train_bookkeeping	D19_train_marketing	D19_train_credit	D19_train_mngt	D19_train_literacy	D22_LH_Changed	D23_WARDI_donkey	D23_WARDI_donkeyCart	D29_training_rehabRoads	D30_involved_roadClearance	E1_IYCFtraining	E1_Coockingtraining	E1_WaterTreattraining	E3_Part_MotherSupportGroup	F1_MainSource_Drink	F3_Distance_Water_km	F3_Distance_Water_min	F7_pay_for_water	F8_water_treatment_used	H1_washhand_beforemeal	H1_washhand_beforeservfood	H1_washhand_beforeeat	H1_washhand_beforefeedbab	H1_washhand_aftercleanbaby	H1_washhand_aftertoil	H1_washhand_aftergarb	H1_washhand_afterplay	H2_important_why	H3_wash_with_what	H4_use_latrines	Village_clean	A7_Gender_HH	A10_Total	B2_HDDS	B3_FCS	B15_HSS	B13_MAHFP	longitude	latitude	A10_children	FCS Score
114	Cwadle	Female	28	No	Male	1	2	1	3	0	Married	Host Community	90	Unemployed	Land cultivation	No	0	0	0	0	No	No	Yes						3	3	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	4	1	3	1	1	1	1	1	1	3	No													Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	20.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	Less than a hectare	Less than a hectare	1-5 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Yes	No	No	Yes	0	Less than a hectare	0	0	Less than a hectare	0	Yes	Yes	No	Yes	No	No	No	No	No	No	No	WARDI	WARDI	0	WARDI	0	0	0	0	0	0	0	1 day	1 day	0	1 day	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Once a week	Once a day	No	No	0	Yes	More food output	Yes	Farming	40	0	0	0				No	Yes	2.0	Donkey cart	No	No	No	Yes	Yes	0.0						Yes	Yes	Yes	No	Yes	Yes	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.0	Boiling water	No	No	Yes	Yes	Yes	Yes	Yes	No	To be healthy	With water and ash	Yes	Qooqane	Male	7	11	30.0	4	12	45.41981191406724	4.720480201846662	5	Borderline
115	Makanno	Male	25	Yes	0	1	1	1	1	0	Married	Host Community	90	Self-employed	Land cultivation	No	0	0	0	0	No	No	No	Yes	Yes	Yes	No	No	3	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	7	0	0	0	0	0	0	7	7	7	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Never	Often (more than ten times in the past four weeks)	Yes	5.0	Yes	Yes	Yes	No	No	Improved	Improved	Improved	0	0	Received from NGOs	Received from NGOs	Received from NGOs	0	0	1-5 ha	1-5 ha	1-5 ha	0	0	Yes	Yes	Yes	0	0	Yes	Yes	Yes	0	0	Less than a hectare	Less than a hectare	Less than a hectare	0	0	Yes	Yes	Yes	0	0	Given by relatives/friends	Given by relatives/friends	Given by relatives/friends	0	0	No	No	No	0	0	Yes	Yes	Yes	0	0	Yes	Yes	Yes	0	0	1-5 ha	1-5 ha	1-5 ha	0	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	5 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Twice a week	Twice a day	No	Yes	Maize, beans , cowpea	No	Floods effected the production of the farm	Yes	Farming	1	2	3	5	Yes	No	No	No	No	23.0	Car	Yes	No	No	No	No	0.0						No	Yes	Yes	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.0	None	No	No	Yes	No	No	No	No	No	To be healthy	With water and sand	Yes	Dheriyow	Male	4	4	21.0	4	12	45.2976468014455	4.751338501582089	2	Poor
116	Hawadle	Male	28	Yes	0	1	0	1	4	1	Married	Host Community	90	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	No	No	Yes	No	No	2	2	Yes	No	No	Yes	No	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	4	0	3	1	1	0	0	1	2	3	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Often (more than ten times in the past four weeks)	Yes	10.0	Yes	Yes	No	Yes	No	Improved	Improved	0	Improved	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	0	Yes	0	No	No	0	No	0	0	0	0	0	0	Yes	Yes	0	Yes	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	No	No	0	No	0	0	0	0	0	0	Yes	No	No	Yes	No	No	No	No	No	No	No	WARDI	0	0	WARDI	0	0	0	0	0	0	0	2 days	0	0	2 days	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Once a week	Twice a day	No	No	0	Yes	due to the agricultural training given I am able to produce more	Yes	Sale of agricultural/ livestock products	60	0	0	0				No	Yes	2.0	Car	No	No	Yes	Yes	No	0.0						Yes	No	No	No	No				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	2	45	0.0	Boiling water	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	Water alone	Yes	Qooqane	Male	7	7	20.5	5	9	45.41981191406724	4.720480201846662	4	Poor
117	Hawadle	Male	30	Yes	0	1	3	1	2	1	Married	Host Community	30	Unemployed	Land cultivation	No	0	0	0	0	No	No	Yes						3	3	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	4	1	2	1	1	1	1	1	2	4	No													Rarely (once or twice in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	10.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Less than a hectare	Less than a hectare	Less than a hectare	1-5 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	Yes	Yes	Yes	No	No	No	No	No	No	No	No	WARDI	WARDI	WARDI	0	0	0	0	0	0	0	0	2 days	2 days	2 days	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	No	No	No	Pipes	0	Once a week	Once a day	No	No	0	Yes	able to produce more because of the training	Yes	Sale of agricultural/ livestock products	40	0	0	0				No	Yes	2.0	Car	No	No	Yes	Yes	No	0.0						Yes	No	No	No	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	40	0.0	Boiling water	No	No	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and sand	Yes	Qooqane	Male	8	11	27.5	4	12	45.41981191406724	4.720480201846662	5	Borderline
118	Dir	Female	34	No	Male	1	2	1	3	0	Married	Host Community	30	Unemployed	Land cultivation	No	0	0	0	0	No	No	Yes						3	3	Yes	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	4	0	3	1	0	0	0	1	2	4	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Often (more than ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Yes	20.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	1-5 ha	Less than a hectare	1-5 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	No	Yes	No	No	No	No	No	No	No	WARDI	WARDI	0	WARDI	0	0	0	0	0	0	0	2 days	2 days	0	2 days	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Twice a week	Once a day	No	No	0	Yes	The level of output increased	No	0	0	0	0	0				No	No	2.0	Other	No	No	No	No	No							Yes	No	No	No	No				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	120	0.0	Boiling water	No	No	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and ash	No	Qooqane	Male	7	6	19.5	5	9	45.41981191406724	4.720480201846662	5	Poor
119	Hawaadle	Female	50	No	Male	1	4	1	3	1	Married	Host Community	30	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	No	No	No	Yes	No	2	2	Yes	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	4	0	3	1	0	0	0	1	2	4	Yes	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	Sometimes (three to ten times in the past four weeks)	Often (more than ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Often (more than ten times in the past four weeks)	Yes	25.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	Less than a hectare	Less than a hectare	6-10 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	No	No	No	No	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	1-5 ha	Less than a hectare	0	Yes	Don't know	Yes	Yes	No	No	No	No	No	No	No	WARDI	0	WARDI	WARDI	0	0	0	0	0	0	0	1 day	0	1 day	1 day	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Once a week	Once a day	No	No	0	Yes	The seeds provided enabled the farming	No	0	0	0	0	0				No	No	4.0	Other	No	No	No	No	No							Yes	No	No	No	No	Yes	No	No	No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	145	0.0	Boiling water	No	Yes	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and ash	No	Qooqane	Male	10	6	19.5	6	9	45.41981191406724	4.720480201846662	7	Poor
120	Makane	Female	30	Yes	0	1	4	2	0	0	Widower	Host Community	70	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	Yes	Yes	Yes	Yes	No	2	3	Yes	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	Yes	Yes	5	2	4	3	4	3	5	7	7	7	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	No	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	1.0	Yes	Yes	No	Yes	No	Recycled	Recycled	0	Recycled	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	No	No	0	No	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	No	No	0	No	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Don't know	Don't know	Yes	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Yes	WARDI	0	0	WARDI	0	0	0	0	0	0	WARDI	5 days	0	0	5 days	0	0	0	0	0	0	5 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Everyday	Twice a day	No	Yes	Store beans harvest from my farm	Yes	Yield from my farm increased that  improved access to food for my family	Yes	Farming	75	5	0	5	Yes	No	No	Yes	Yes	6.0	Donkey cart	Yes	Yes	Yes	Yes	Yes	0.0	No	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	55	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	Water alone	Yes	QarsooniWest	Female	7	6	72.0	4	10	45.35268507294175	4.485894311877903	4	Acceptable
121	Hawadle	Male	47	Yes	0	1	3	1	6	1	Married	Host Community	90	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	No	No	Yes	No	No	2	3	Yes	No	No	Yes	No	No	No	No	No	No	Yes	No	Yes	Yes	Yes	5	0	2	1	0	0	0	1	2	4	Yes	No	No	No	Yes	Yes	Yes	No	No	No	No	No	No	Sometimes (three to ten times in the past four weeks)	Often (more than ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Often (more than ten times in the past four weeks)	Yes	30.0	Yes	Yes	No	Yes	No	Improved	Improved	0	Improved	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	1-5 ha	Less than a hectare	0	1-5 ha	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Less than a hectare	Less than a hectare	0	Less than a hectare	0	Yes	Yes	0	Yes	0	Received from NGOs	Received from NGOs	0	Received from NGOs	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	No	No	0	No	0	0	0	0	0	0	Yes	Yes	Yes	No	No	No	No	No	Don't know	No	No	WARDI	WARDI	WARDI	0	0	0	0	0	0	0	0	2 days	2 days	2 days	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Twice a week	Once a day	No	Yes	Food	Yes	Farming enabled agricultural output	Yes	Sale of agricultural/ livestock products	45	0	0	0				No	Yes	3.0	Car	No	No	Yes	Yes	Yes	0.0						Yes	No	No	No	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	145	0.0	Boiling water	No	No	Yes	Yes	Yes	Yes	Yes	No	To reduces spread/ transmission of disease	With water and ash	Yes	Qooqane	Male	12	6	18.5	6	9	45.41981191406724	4.720480201846662	9	Poor
122	Hawadle	Male	32	Yes	0	1	0	1	1	0	Married	Host Community	90	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						2	3	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	6	2	4	0	0	0	5	7	6	6	No													Never	Never	Never	Never	Yes	2.0	No	No	Yes	Yes	No	0	0	Improved	Improved	0	0	0	Received from NGOs	Received from NGOs	0	0	0	Less than a hectare	Less than a hectare	0	0	0	No	No	0	0	0	No	No	0	0	0	0	0	0	0	0	No	No	0	0	0	Received from NGOs	Received from NGOs	0	0	0	Yes	Yes	0	0	0	Yes	Yes	0	0	0	No	No	0	0	0	0	0	0	Yes	No	No	No	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	WARDI	0	0	0	0	0	0	0	0	0	0	More than 5 days	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	Yes	Fetch with jerrycan	0	Everyday	Once a day	No	Yes	crops	Yes	due to provision of livelihood inputs.	Yes	Farming	80	0	0	0				No	Yes	15.0	Donkey cart	Yes	Yes	No	Yes	Yes	0.0						Yes	No	No	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	60	0.0	None	No	No	Yes	No	No	No	Yes	No	To reduces spread/ transmission of disease	Water alone	Yes	Dheriyow	Male	3	5	54.5	0	12	45.2976468014455	4.751338501582089	1	Acceptable
123	Makane	Female	32	No	Male	2	4	2	2	0	Married	Host Community	70	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						2	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	5	1	5	0	0	0	6	5	5	5	No													Never	Never	Never	Never	No	0.0					No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	Don't know	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	Yes	Fetch with jerrycan	0	Everyday	Once a day	No	No	0	Yes	agricultural inputs and equipment	No	0	0	0	0	0				No	No	10.0	Donkey cart	Yes	No	No	No	No	0.0						Yes	No	No	No	No				No	Public tap/standpipe	1	50	0.0	None	No	No	Yes	No	No	No	No	No	To reduces spread/ transmission of disease	Water alone	Yes	Doolagaal	Male	10	4	56.0	0	12	45.44930030010832	4.425577305740869	6	Acceptable
126	Hawaadle	Male	50	Yes	0	2	1	1	1	1	Married	Host Community	70	Self-employed	Land cultivation	Yes	5	15	0	0	No	No	No	Yes	Yes	Yes	Yes	No	2	2	Yes	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	2	0	3	1	2	1	1	1	1	1	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	3.0	Yes	No	No	Yes	No	Improved	0	0	Improved	0	Received from NGOs	0	0	Received from NGOs	0	1-5 ha	0	0	1-5 ha	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	1-5 ha	0	0	1-5 ha	0	Yes	0	0	Yes	0	Received from NGOs	0	0	Received from NGOs	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	1-5 ha	0	0	1-5 ha	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	Yes	Yes	No	Pipes	0	Everyday	Once a day	No	No	0	No	Floods flooded and cut off our production. so the accessibility of the food decreased.	Yes	Farming	70	0	0	0				No	No	25.0	Donkey cart	Yes	Yes	Yes	Yes	No	0.0						No	No	No	No	No				No	Rainwater collection	2	20	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Haracadeey	Male	6	4	25.0	4	12	45.4101313655221	4.6138187713871135	2	Borderline
127	Hawiye	Male	39	Yes	0	1	3	1	2	0	Married	Host Community	60	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						2	3	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	6	2	4	1	1	0	3	7	7	7	No													Never	Never	Never	Never	Yes	3.0	Yes	No	Yes	Yes	No	Improved	0	Improved	Improved	0	Received from NGOs	0	Received from NGOs	Received from NGOs	0	Less than a hectare	0	Less than a hectare	Less than a hectare	0	Yes	0	Yes	Yes	0	No	0	No	No	0	0	0	0	0	0	No	0	No	No	0	Received from NGOs	0	Received from NGOs	Received from NGOs	0	Yes	0	Yes	Yes	0	No	0	No	No	0	No	0	No	No	0	0	0	0	0	0	Don't know	Don't know	Yes	Yes	Don't know	Don't know	Don't know	Don't know	No	No	No	0	0	WARDI	WARDI	0	0	0	0	0	0	0	0	0	5 days	5 days	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	Yes	Pipes	0	Everyday	Twice a day	No	Yes	crops	Yes	Due to the provision of agricultural inputs, training and capacity buildings and also equipment.	Yes	Farming	100	0	0	0				No	Yes	9.0	Donkey cart	Yes	No	No	No	No	0.0						Yes	No	No	No	No				No	Public tap/standpipe	1	70	0.0	None	No	No	Yes	No	No	No	Yes	No	To reduces spread/ transmission of disease	Water alone	Yes	Doolagaal	Male	7	5	49.0	0	12	45.44930030010832	4.425577305740869	5	Acceptable
128	Hawiye	Female	38	No	Male	2	2	3	1	0	Married	Host Community	50	Unemployed	Land cultivation	No	0	0	0	0	No	No	No	Yes	Yes	Yes	Yes	No	2	3	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	6	3	5	1	1	0	5	6	7	7	No													Never	Never	Never	Never	Yes	2.0	No	No	Yes	Yes	No	0	0	Improved	Improved	0	0	0	Received from NGOs	Received from NGOs	0	0	0	Less than a hectare	Less than a hectare	0	0	0	Yes	Yes	0	0	0	No	No	0	0	0	0	0	0	0	0	No	No	0	0	0	Received from NGOs	Received from NGOs	0	0	0	Yes	Yes	0	0	0	Yes	Yes	0	0	0	No	No	0	0	0	0	0	0	Don't know	Don't know	Don't know	Yes	Yes	No	No	No	No	No	No	0	0	0	WARDI	WARDI	0	0	0	0	0	0	0	0	0	5 days	5 days	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	No	Pipes	0	Everyday	Twice a day	No	No	0	Yes	DUE TO THE PROVISION OF EQUIPMENT AND INPUTS.	Yes	Farming	90	0	0	0				No	No	8.0	Donkey cart	Yes	No	No	No	No	0.0						No	No	No	No	No				No	Public tap/standpipe	1	80	0.0	None	No	No	Yes	No	No	No	Yes	No	To reduces spread/ transmission of disease	Water alone	No	Doolagaal	Male	8	6	61.5	0	12	45.44930030010832	4.425577305740869	3	Acceptable
129	Dajeel	Female	37	No	Male	1	2	1	3	0	Married	Host Community	100	Self-employed	Land cultivation	Yes	10	20	0	0	No	No	No	Yes	Yes	Yes	Yes	No	3	3	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	3	1	1	0	1	1	1	2	2	3	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	4.0	Yes	No	No	Yes	No	Improved	0	0	Improved	0	Received from NGOs	0	0	Received from NGOs	0	1-5 ha	0	0	1-5 ha	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	1-5 ha	0	0	1-5 ha	0	Yes	0	0	Yes	0	Received from NGOs	0	0	Received from NGOs	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	1-5 ha	0	0	1-5 ha	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Fetch with jerrycan	0	Three times a week	Once a day	No	No	0	No	Nothing has changed, floods flooded and cut off the production. so the access to food has decreased whence the local production decreased.	Yes	Farming	100	0	0	0				No	Yes	30.0	Donkey cart	Yes	Yes	Yes	Yes	No	0.0						No	Yes	Yes	No	No				No	Rainwater collection	10	30	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Haracadeey	Male	7	8	22.0	4	12	45.4101313655221	4.6138187713871135	5	Borderline
